Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,20
Horizontal Delay,0
Sample Interval,0.002
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.005
Vertical Position,2
,
,
,
Label,
TIME,CH3
-97.996,-0.0154
-97.994,-0.015
-97.992,-0.0156
-97.99,-0.0162
-97.988,-0.0154
-97.986,-0.0158
-97.984,-0.0162
-97.982,-0.016
-97.98,-0.0164
-97.978,-0.0162
-97.976,-0.0174
-97.974,-0.0152
-97.972,-0.0158
-97.97,-0.015
-97.968,-0.0148
-97.966,-0.0158
-97.964,-0.0156
-97.962,-0.0152
-97.96,-0.0158
-97.958,-0.016
-97.956,-0.0154
-97.954,-0.016
-97.952,-0.016
-97.95,-0.0142
-97.948,-0.0164
-97.946,-0.0158
-97.944,-0.0164
-97.942,-0.0152
-97.94,-0.016
-97.938,-0.0148
-97.936,-0.0162
-97.934,-0.017
-97.932,-0.0158
-97.93,-0.0152
-97.928,-0.0156
-97.926,-0.016
-97.924,-0.0158
-97.922,-0.0164
-97.92,-0.0156
-97.918,-0.0154
-97.916,-0.0154
-97.914,-0.0152
-97.912,-0.0164
-97.91,-0.0154
-97.908,-0.0148
-97.906,-0.0164
-97.904,-0.0156
-97.902,-0.016
-97.9,-0.0164
-97.898,-0.0156
-97.896,-0.0154
-97.894,-0.0154
-97.892,-0.016
-97.89,-0.016
-97.888,-0.0152
-97.886,-0.0148
-97.884,-0.0158
-97.882,-0.0152
-97.88,-0.0164
-97.878,-0.0158
-97.876,-0.0156
-97.874,-0.0156
-97.872,-0.0154
-97.87,-0.0162
-97.868,-0.0166
-97.866,-0.0152
-97.864,-0.0154
-97.862,-0.016
-97.86,-0.0154
-97.858,-0.016
-97.856,-0.0158
-97.854,-0.0162
-97.852,-0.0166
-97.85,-0.0158
-97.848,-0.0164
-97.846,-0.0154
-97.844,-0.0148
-97.842,-0.0156
-97.84,-0.015
-97.838,-0.0164
-97.836,-0.0158
-97.834,-0.0148
-97.832,-0.0168
-97.83,-0.0158
-97.828,-0.0162
-97.826,-0.0152
-97.824,-0.0154
-97.822,-0.0154
-97.82,-0.016
-97.818,-0.0148
-97.816,-0.016
-97.814,-0.0158
-97.812,-0.0156
-97.81,-0.0154
-97.808,-0.015
-97.806,-0.0164
-97.804,-0.0156
-97.802,-0.0158
-97.8,-0.0168
-97.798,-0.0158
-97.796,-0.0154
-97.794,-0.0154
-97.792,-0.0152
-97.79,-0.0158
-97.788,-0.0156
-97.786,-0.016
-97.784,-0.0158
-97.782,-0.016
-97.78,-0.0166
-97.778,-0.0154
-97.776,-0.016
-97.774,-0.0144
-97.772,-0.0152
-97.77,-0.0158
-97.768,-0.0158
-97.766,-0.0152
-97.764,-0.016
-97.762,-0.0146
-97.76,-0.0152
-97.758,-0.0154
-97.756,-0.0152
-97.754,-0.0158
-97.752,-0.0158
-97.75,-0.0158
-97.748,-0.016
-97.746,-0.0156
-97.744,-0.0158
-97.742,-0.0162
-97.74,-0.0162
-97.738,-0.0164
-97.736,-0.016
-97.734,-0.0152
-97.732,-0.0158
-97.73,-0.0152
-97.728,-0.0162
-97.726,-0.0166
-97.724,-0.0154
-97.722,-0.0158
-97.72,-0.0152
-97.718,-0.0156
-97.716,-0.0164
-97.714,-0.0148
-97.712,-0.0168
-97.71,-0.0158
-97.708,-0.0158
-97.706,-0.0162
-97.704,-0.0158
-97.702,-0.016
-97.7,-0.0162
-97.698,-0.0164
-97.696,-0.016
-97.694,-0.0158
-97.692,-0.016
-97.69,-0.0174
-97.688,-0.0146
-97.686,-0.016
-97.684,-0.0156
-97.682,-0.0152
-97.68,-0.0158
-97.678,-0.0158
-97.676,-0.0158
-97.674,-0.016
-97.672,-0.016
-97.67,-0.016
-97.668,-0.0156
-97.666,-0.0164
-97.664,-0.0156
-97.662,-0.0158
-97.66,-0.0156
-97.658,-0.0154
-97.656,-0.0152
-97.654,-0.0156
-97.652,-0.0158
-97.65,-0.015
-97.648,-0.0156
-97.646,-0.0154
-97.644,-0.016
-97.642,-0.0156
-97.64,-0.0152
-97.638,-0.0156
-97.636,-0.0146
-97.634,-0.0152
-97.632,-0.0158
-97.63,-0.0152
-97.628,-0.016
-97.626,-0.015
-97.624,-0.0158
-97.622,-0.016
-97.62,-0.015
-97.618,-0.0162
-97.616,-0.015
-97.614,-0.0158
-97.612,-0.0162
-97.61,-0.0156
-97.608,-0.015
-97.606,-0.0176
-97.604,-0.0158
-97.602,-0.0156
-97.6,-0.0152
